scenario,chinese,pinyin,english
Self-introduction,我是销售经理。,wǒ shì xiāo shòu jīng lǐ,I am a sales manager.
Company,我在一家美国公司工作。,wǒ zài yì jiā měi guó gōng sī gōng zuò,I work at an American company.
Responsibility,我负责中国市场。,wǒ fù zé zhōng guó shì chǎng,I am responsible for the China market.
Meeting time,我们明天上午十点开会。,wǒ men míng tiān shàng wǔ shí diǎn kāi huì,We will meet tomorrow at 10 a.m.
Confirmation,请确认会议时间。,qǐng què rèn huì yì shí jiān,Please confirm the meeting time.
Materials,我把资料发给你。,wǒ bǎ zī liào fā gěi nǐ,I will send you the materials.
Follow-up,我稍后回复你。,wǒ shāo hòu huí fù nǐ,I will reply to you later.
Invoice,请把发票发给我。,qǐng bǎ fā piào fā gěi wǒ,Please send me the invoice.
Payment,什么时候付款？,shén me shí hou fù kuǎn,When is the payment?
Price,这个价格合适吗？,zhè ge jià gé hé shì ma,Is this price suitable?
Discount,可以有折扣吗？,kě yǐ yǒu zhé kòu ma,Can there be a discount?
Contract,我们需要看合同。,wǒ men xū yào kàn hé tóng,We need to review the contract.
